Регион,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",Добыча полезных ископаемых,Обрабатывающие производства,"Обеспечение электрическое энергией, газом и паром; кондиционирование воздуха","Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",Строи-тельство,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,Транспортировка и хранение,Деятельность гостиниц и предприятий общественного питания,Деятельность в области информации и связи,Деятельность по операциям с недвижимым имуществом,Образо-вание,Деятельность в области здравоохранения и социальных услуг,Другие виды деятельности
Северо-Кавказский федеральный округ,80832.5,1847.6000000000001,43880.5,7390.400000000001,4157.1,50347.1,83142.0,28175.899999999998,11547.5,5080.900000000001,6466.599999999999,44342.4,31409.2,63742.200000000004
Республика Дагестан,29713.0,691.0,9397.6,1243.8,691.0,17689.600000000002,25014.2,8153.8,3040.4,1243.8,1520.2,14372.800000000001,8844.800000000001,16307.6
Республика Ингушетия,4144.0,207.20000000000002,3522.4,207.20000000000002,155.4,2693.6,5309.5,1061.8999999999999,569.8000000000001,336.7,233.1,2460.5,1605.8,3392.9
Кабардино-Балкарская Республика,8697.0,44.6,5218.2,847.4,267.59999999999997,4906.0,7671.2,2586.7999999999997,1248.8,490.6,579.8000000000001,3389.6,2988.2000000000003,5664.2
Карачаево-Черкесская Республика,2998.7999999999997,142.79999999999998,2652.0,489.59999999999997,163.20000000000002,1795.2,3141.6,1142.3999999999999,408.0,265.2,285.59999999999997,2284.7999999999997,1366.8,3264.0
Республика Северная Осетия – Алания,3016.7,62.2,3700.9,590.9,311.0,2954.5,5224.8,2301.4,1057.3999999999999,404.3,435.4,3078.9,2332.5,5629.1
Чеченская Республика,12870.2,380.4,4121.0,887.5999999999999,443.79999999999995,9446.6,7798.200000000001,3106.6000000000004,1268.0,697.4000000000001,443.79999999999995,9510.0,3994.2,8495.6
Ставропольский край,20053.5,414.9,14936.400000000001,3180.8999999999996,1797.9,11064.0,28628.1,9542.7,3872.3999999999996,1797.9,2627.7,9681.0,10095.9,20468.4
Приволжский федеральный округ,112274.79999999999,20682.199999999997,264436.69999999995,35455.2,14773.0,127047.79999999999,261482.09999999998,100456.4,33977.899999999994,28068.699999999997,36932.5,115229.4,94547.20000000001,231936.09999999998
Республика Башкортостан,13461.599999999999,4360.799999999999,29198.4,4360.799999999999,1896.0,18391.199999999997,35455.2,11944.8,5308.799999999999,3223.2,5308.799999999999,14030.400000000001,12703.2,30146.4
